"policy_id","cal_year","occurrence_date","usage","occasional_commercial","area","province","overnight_parking","security_device","vehicle_id","body_type","vehicle_power","fuel","transmission","engine_cc","vehicle_value","gender","age","ncd_level","gross_amount","net_amount","marital","employment","occupation","years_licensed","licensing_age","vehicle_age","reported_mileage","num_drivers","exposure","employment_missing","reported_mileage_missing","engine_cc_missing"
"P0000022",2021,2021-04-21,"Private",FALSE,"Suburban","Leinster","Garage",FALSE,1,"Saloon","Med","Hybrid","A",600,13973,"M",24,1,8826.80115929244,8576.80115929244,"Single","Student","Accountant",5,19,11,7500,1,1,0,0,0
"P0000022",2024,2024-09-12,"Private",FALSE,"Suburban","Leinster","Garage",FALSE,1,"Saloon","Med","Hybrid","A",600,13973,"M",27,2,778.169949557517,528.169949557517,"Single","Student","Accountant",8,19,14,12000,1,1,0,0,1
"P0000023",2020,2020-10-19,"Commuting",FALSE,"Rural","Munster","Driveway",TRUE,1,"Van","Med","Diesel","M",1061,30244,"M",40,1,2295.38310636635,2045.38310636635,"Married","Employed","Driver/Delivery",20,20,8,29500,2,1,0,0,0
"P0000024",2019,2019-12-01,"Private",FALSE,"Urban","Leinster","Driveway",FALSE,1,"Hatchback","Low","Petrol","M",600,14012,"M",42,0,17289.0888718122,17039.0888718122,"Married","Unemployed","Actuary",22,20,8,8000,1,0.167123288,0,0,0
"P0000024",2023,2023-08-03,"Private",FALSE,"Urban","Leinster","Driveway",FALSE,1,"Hatchback","Low","Petrol","M",600,14012,"M",46,3,5789.28212924553,5539.28212924553,"Married","Unemployed","Actuary",26,20,12,6000,1,1,0,0,0
"P0000029",2024,2024-09-15,"Commuting",FALSE,"Rural","Munster","Garage",TRUE,1,"SUV","Low","Diesel","M",600,13470,"M",62,2,9251.37667735212,9001.37667735212,"Married","Employed","Garda",42,20,10,24500,1,0.906849315,0,0,0
"P0000037",2023,2023-08-28,"Private",FALSE,"Suburban","Munster","Street",FALSE,1,"Saloon","Low","Petrol","M",600,11721,"F",43,2,12006.3776818235,11756.3776818235,"Married","Unemployed","Accountant",22,21,10,8000,1,1,0,0,0
"P0000040",2022,2022-11-18,"Commuting",FALSE,"Urban","Munster","Driveway",TRUE,1,"Saloon","Low","Diesel","M",600,12948,"M",47,5,5041.00231453094,4791.00231453094,"Married","Self-Employed","Primary Teacher",26,21,14,12000,1,1,0,0,0
"P0000041",2017,2017-10-11,"Commuting",FALSE,"Urban","Munster","Garage",FALSE,1,"Saloon","Low","Diesel","M",600,10386,"M",60,2,2572.7044124823,2322.7044124823,"Married","Employed","Nurse",41,19,8,10000,2,1,0,0,0
"P0000041",2019,2019-02-10,"Commuting",FALSE,"Urban","Munster","Garage",FALSE,1,"Saloon","Low","Diesel","M",600,10386,"M",62,1,6712.10921998617,6462.10921998617,"Married","Employed","Nurse",43,19,10,12500,2,1,0,0,0
"P0000041",2021,2021-01-30,"Commuting",FALSE,"Urban","Munster","Garage",FALSE,1,"Saloon","Low","Diesel","M",600,10386,"M",64,1,5944.73163730764,5694.73163730764,"Married","Employed","Nurse",45,19,12,17500,2,1,0,0,0
"P0000041",2023,2023-06-23,"Commuting",FALSE,"Urban","Munster","Garage",FALSE,1,"Saloon","Low","Diesel","M",600,10386,"M",66,1,2972.58079039902,2722.58079039902,"Married","Employed","Nurse",47,19,14,12000,2,1,0,0,0
"P0000041",2024,2024-11-10,"Commuting",FALSE,"Urban","Munster","Garage",FALSE,1,"Saloon","Low","Diesel","M",600,10386,"M",67,0,2846.88373002142,2596.88373002142,"Married","Employed","Nurse",48,19,15,13000,2,1,0,0,0
"P0000042",2021,2021-02-23,"Commuting",FALSE,"Urban","Munster","Street",FALSE,1,"Saloon","Low","Diesel","M",600,13400,"M",32,1,30939.4584456034,30689.4584456034,"Single","Employed","Doctor",14,18,10,13000,1,1,0,0,0
"P0000042",2021,2021-12-23,"Commuting",FALSE,"Urban","Munster","Street",FALSE,1,"Saloon","Low","Diesel","M",600,13400,"M",32,1,1921.96470838958,1671.96470838958,"Single","Employed","Doctor",14,18,10,13000,1,1,0,0,0
"P0000042",2022,2022-06-21,"Commuting",FALSE,"Urban","Munster","Street",FALSE,1,"Saloon","Low","Diesel","M",600,13400,"M",33,0,4872.72775132829,4622.72775132829,"Single","Employed","Doctor",15,18,11,13000,1,1,0,0,0
"P0000043",2024,2024-10-10,"Commuting",FALSE,"Suburban","Leinster","Driveway",TRUE,1,"Saloon","Med","Petrol","M",1464,37909,"F",37,3,14038.5335099237,13788.5335099237,"Single","Employed","Primary Teacher",16,21,7,16000,1,1,0,0,0
"P0000047",2017,2017-02-18,"Commuting",FALSE,"Urban","Leinster","Street",FALSE,1,"Hatchback","Low","Hybrid","A",600,10549,"M",43,2,4505.96349729533,4255.96349729533,"Married","Employed","Accountant",22,21,10,12500,1,1,0,0,0
"P0000047",2017,2017-03-07,"Commuting",FALSE,"Urban","Leinster","Street",FALSE,1,"Hatchback","Low","Hybrid","A",600,10549,"M",43,2,26704.3283312095,26454.3283312095,"Married","Employed","Accountant",22,21,10,12500,1,1,0,0,0
"P0000049",2023,2023-01-06,"Commuting",FALSE,"Suburban","Munster","Driveway",TRUE,1,"Estate","Low","Petrol","M",600,11292,"M",50,2,4197.43134651037,3947.43134651037,"Married","Employed","Nurse",29,21,12,13500,1,1,0,0,0
"P0000052",2016,2016-08-13,"Commuting",FALSE,"Rural","Leinster","Driveway",TRUE,1,"SUV","Med","Petrol","M",1883,44547,"M",28,0,3949.32623382251,3699.32623382251,"Single","Employed","Other",11,17,6,12000,1,0.682191781,0,0,0
"P0000052",2017,2017-10-20,"Commuting",FALSE,"Rural","Leinster","Driveway",TRUE,1,"SUV","Med","Petrol","M",1883,44547,"M",29,0,15017.2555744651,14767.2555744651,"Single","Employed","Other",12,17,7,16500,1,1,0,0,0
"P0000052",2018,2018-03-05,"Commuting",FALSE,"Rural","Leinster","Driveway",TRUE,1,"SUV","Med","Petrol","M",1883,44547,"M",30,0,56742.0932484885,50000,"Single","Employed","Other",13,17,8,16500,1,1,0,0,0
"P0000052",2020,2020-08-28,"Commuting",FALSE,"Rural","Leinster","Driveway",TRUE,1,"SUV","Med","Petrol","M",1883,44547,"M",32,1,2186.25002599359,1936.25002599359,"Single","Employed","Other",15,17,10,6000,1,1,0,0,0
"P0000052",2020,2020-09-17,"Commuting",FALSE,"Rural","Leinster","Driveway",TRUE,1,"SUV","Med","Petrol","M",1883,44547,"M",32,1,18214.4700949188,17964.4700949188,"Single","Employed","Other",15,17,10,6000,1,1,0,0,0
"P0000052",2022,2022-03-27,"Commuting",FALSE,"Rural","Leinster","Driveway",TRUE,1,"SUV","Med","Petrol","M",1883,44547,"M",34,1,9844.45612220007,9594.45612220007,"Single","Employed","Other",17,17,12,48000,1,1,0,0,0
"P0000055",2024,2024-01-05,"Commuting",TRUE,"Urban","Leinster","Driveway",TRUE,1,"Hatchback","Med","Diesel","M",648,22020,"M",51,5,10435.342636032,10185.342636032,"Married","Employed","Retail",30,21,15,17500,1,1,0,0,0
"P0000059",2024,2024-12-07,"Private",FALSE,"Rural","Munster","Driveway",TRUE,1,"SUV","Med","Petrol","M",2599,57836,"F",29,1,15722.665971296,15472.665971296,"Single","Student","Retail",9,20,9,8000,1,1,0,0,0
"P0000063",2017,2017-07-03,"Commuting",FALSE,"Urban","Leinster","Driveway",FALSE,1,"Van","Med","Diesel","M",1247,31308,"F",48,2,22357.8078709249,22107.8078709249,"Married","Employed","Skilled Trades",31,17,12,8000,1,1,0,0,0
"P0000064",2023,2023-08-31,"Commercial",FALSE,"Rural","Munster","Driveway",TRUE,1,"SUV","Med","Diesel","M",896,27144,"F",52,0,51172.37314785,50000,"Married","Employed","Farmer",35,17,9,29000,2,0.556164384,0,0,0
"P0000065",2017,2017-06-23,"Commuting",TRUE,"Urban","Leinster","Driveway",FALSE,1,"Hatchback","Med","Petrol","M",711,15033,"M",54,0,6520.59846739485,6270.59846739485,"Married","Employed","Retail",34,20,5,14500,1,0.704109589,0,0,0
"P0000065",2017,2017-12-04,"Commuting",TRUE,"Urban","Leinster","Driveway",FALSE,1,"Hatchback","Med","Petrol","M",711,15033,"M",54,0,21504.930324289,21254.930324289,"Married","Employed","Retail",34,20,5,14500,1,0.704109589,0,0,0
"P0000066",2023,2023-01-27,"Commuting",FALSE,"Rural","Connacht","Driveway",TRUE,1,"Estate","Med","Petrol","M",1005,26980,"F",48,5,3907.14929808373,3657.14929808373,"Married","Employed","Skilled Trades",30,18,9,10000,1,1,0,0,0
"P0000068",2020,2020-03-19,"Private",FALSE,"Rural","Connacht","Garage",TRUE,1,"SUV","Med","Diesel","M",1826,43421,"F",45,2,13121.7562806088,12871.7562806088,"Married","Unemployed","Primary Teacher",25,20,8,8500,2,0.978082192,0,0,0
"P0000068",2021,2021-09-06,"Private",FALSE,"Rural","Connacht","Garage",TRUE,1,"SUV","Med","Diesel","M",1826,43421,"F",46,0,9544.88699559548,9294.88699559548,"Married","Unemployed","Primary Teacher",26,20,9,6500,2,1,0,0,0
"P0000068",2021,2021-12-20,"Private",FALSE,"Rural","Connacht","Garage",TRUE,1,"SUV","Med","Diesel","M",1826,43421,"F",46,0,11659.3528816311,11409.3528816311,"Married","Unemployed","Primary Teacher",26,20,9,6500,2,1,0,0,0
"P0000069",2019,2019-12-08,"Private",FALSE,"Rural","Munster","Garage",TRUE,1,"Saloon","Med","Diesel","M",3774,81893,"M",27,2,1606.23761611372,1356.23761611372,"Single","Unemployed","Retail",10,17,7,7000,1,1,0,0,0
"P0000073",2021,2021-07-21,"Commuting",TRUE,"Rural","Ulster","Driveway",TRUE,1,"Van","Med","Diesel","M",764,17292,"M",27,0,21353.7883396097,21103.7883396097,"Single","Employed","Skilled Trades",6,21,8,23000,1,0.654794521,0,0,0
"P0000073",2021,2021-10-31,"Commuting",TRUE,"Rural","Ulster","Driveway",TRUE,1,"Van","Med","Diesel","M",764,17292,"M",27,0,7866.60089607101,7616.60089607101,"Single","Employed","Skilled Trades",6,21,8,23000,1,0.654794521,0,0,0
"P0000073",2021,2021-11-27,"Commuting",TRUE,"Rural","Ulster","Driveway",TRUE,1,"Van","Med","Diesel","M",764,17292,"M",27,0,7999.08039777655,7749.08039777655,"Single","Employed","Skilled Trades",6,21,8,23000,1,0.654794521,0,0,0
"P0000073",2024,2024-01-29,"Commuting",FALSE,"Rural","Ulster","Driveway",TRUE,1,"Van","Med","Diesel","M",764,17292,"M",30,2,7511.07598058275,7261.07598058275,"Single","Employed","Skilled Trades",9,21,11,17500,1,1,0,0,0
"P0000073",2024,2024-03-13,"Commuting",FALSE,"Rural","Ulster","Driveway",TRUE,1,"Van","Med","Diesel","M",764,17292,"M",30,2,8163.75464896033,7913.75464896033,"Single","Employed","Skilled Trades",9,21,11,17500,1,1,0,0,0
"P0000075",2023,2023-05-07,"Commercial",FALSE,"Rural","Ulster","Driveway",TRUE,1,"SUV","Med","Diesel","M",3402,70835,"M",30,1,1703.29072528143,1453.29072528143,"Single","Employed","Farmer",11,19,12,20500,1,0.731506849,0,0,0
"P0000075",2023,2023-09-19,"Commercial",FALSE,"Rural","Ulster","Driveway",TRUE,1,"SUV","Med","Diesel","M",3402,70835,"M",30,1,6099.00227790418,5849.00227790418,"Single","Employed","Farmer",11,19,12,20500,1,0.731506849,0,0,0
"P0000076",2024,2024-07-09,"Commuting",FALSE,"Suburban","Connacht","Garage",FALSE,1,"Hatchback","Med","Diesel","M",600,13749,"M",56,2,9286.23777433117,9036.23777433117,"Married","Employed","Primary Teacher",37,19,5,11500,2,1,0,0,0
"P0000077",2022,2022-09-25,"Commuting",FALSE,"Suburban","Leinster","Driveway",TRUE,1,"Hatchback","Low","Petrol","M",600,13320,"M",63,1,7665.16403860601,7415.16403860601,"Married","Employed","Unemployed",45,18,12,9000,1,0.936986301,0,0,0
"P0000078",2018,2018-03-19,"Commuting",FALSE,"Suburban","Munster","Street",FALSE,1,"Saloon","Med","Diesel","M",600,16884,"M",49,2,7518.11420305515,7268.11420305515,"Married","Employed","Retail",31,18,9,13000,1,1,0,0,0
"P0000078",2023,2023-09-03,"Commuting",FALSE,"Suburban","Munster","Street",FALSE,1,"Saloon","Med","Diesel","M",600,16884,"M",54,4,10558.7218077982,10308.7218077982,"Married","Employed","Retail",36,18,14,13000,1,1,0,0,0
"P0000079",2022,2022-11-05,"Commuting",FALSE,"Urban","Leinster","Street",TRUE,1,"Hatchback","Med","Hybrid","A",1355,34365,"M",53,5,8273.09719703481,8023.0971970348,"Married","Employed","Lecturer",32,21,13,7500,1,1,0,0,0
"P0000082",2018,2018-04-08,"Commuting",FALSE,"Rural","Ulster","Garage",FALSE,1,"Saloon","Med","Diesel","M",808,23593,"F",42,2,7075.57890653188,6825.57890653188,"Married","Self-Employed","Primary Teacher",22,20,12,12000,1,1,0,0,0
"P0000082",2020,2020-01-01,"Commuting",FALSE,"Rural","Ulster","Garage",FALSE,1,"Saloon","Med","Diesel","M",808,23593,"F",44,1,6603.88101173312,6353.88101173312,"Married","Self-Employed","Primary Teacher",24,20,14,12000,1,1,0,0,0
"P0000082",2022,2022-07-13,"Commuting",TRUE,"Rural","Ulster","Garage",FALSE,1,"Saloon","Med","Diesel","M",808,23593,"F",46,1,7369.38472827354,7119.38472827354,"Married","Self-Employed","Primary Teacher",26,20,16,34500,1,1,0,0,0
"P0000082",2022,2022-10-26,"Commuting",TRUE,"Rural","Ulster","Garage",FALSE,1,"Saloon","Med","Diesel","M",808,23593,"F",46,1,4766.61549399242,4516.61549399242,"Married","Self-Employed","Primary Teacher",26,20,16,34500,1,1,0,0,0
"P0000082",2024,2024-01-20,"Commuting",FALSE,"Rural","Ulster","Garage",FALSE,1,"Saloon","Med","Diesel","M",808,23593,"F",48,1,21656.4680312998,21406.4680312998,"Married","Self-Employed","Primary Teacher",28,20,18,10500,1,0.81369863,0,0,0
"P0000082",2024,2024-06-24,"Commuting",FALSE,"Rural","Ulster","Garage",FALSE,1,"Saloon","Med","Diesel","M",808,23593,"F",48,1,12302.2682694474,12052.2682694474,"Married","Self-Employed","Primary Teacher",28,20,18,10500,1,0.81369863,0,0,0
"P0000084",2023,2023-11-24,"Commuting",FALSE,"Urban","Leinster","Garage",FALSE,1,"Saloon","Med","Diesel","M",600,15618,"F",35,1,6559.21413569659,6309.21413569659,"Married","Employed","Lecturer",13,22,9,9500,1,0.575342466,0,0,0
"P0000084",2024,2024-10-24,"Commuting",FALSE,"Urban","Leinster","Garage",FALSE,1,"Saloon","Med","Diesel","M",600,15618,"F",36,0,7192.40342551481,6942.40342551481,"Married","Employed","Lecturer",14,22,10,12500,1,1,0,0,0
"P0000087",2022,2022-09-26,"Private",FALSE,"Suburban","Connacht","Garage",TRUE,1,"Hatchback","Med","Diesel","M",600,14793,"F",38,2,89928.110046383,50000,"Single","Unemployed","Unemployed",20,18,14,4500,1,1,0,0,0
"P0000087",2024,2024-11-04,"Private",FALSE,"Suburban","Connacht","Garage",TRUE,1,"Hatchback","Med","Diesel","M",600,14793,"F",40,1,10657.6013304432,10407.6013304432,"Single","Unemployed","Unemployed",22,18,16,6000,1,1,0,0,0
"P0000088",2021,2021-08-26,"Commuting",FALSE,"Suburban","Leinster","Driveway",TRUE,1,"Saloon","High","Petrol","M",1274,33646,"M",45,3,12940.5136906407,12690.5136906407,"Married","Employed","Garda",28,17,13,11500,1,1,0,0,0
"P0000089",2018,2018-03-20,"Commuting",FALSE,"Urban","Leinster","Driveway",FALSE,1,"Saloon","Med","Diesel","M",600,23983,"M",71,2,21352.5863607755,21102.5863607755,"Married","Employed","Nurse",52,19,8,7500,1,1,0,0,0
"P0000090",2024,2024-05-27,"Commuting",FALSE,"Suburban","Munster","Driveway",FALSE,1,"Hatchback","Med","Hybrid","A",888,22042,"M",57,4,12278.1017644912,12028.1017644912,"Married","Employed","Nurse",40,17,9,10500,1,1,0,0,0
"P0000091",2017,2017-12-14,"Commercial",FALSE,"Urban","Ulster","Street",FALSE,1,"Van","Med","Petrol","M",1372,36668,"M",57,2,16145.2131923865,15895.2131923865,"Married","Self-Employed","Skilled Trades",40,17,12,22000,1,0.350684932,0,0,0
"P0000091",2018,2018-01-15,"Commercial",FALSE,"Urban","Ulster","Street",FALSE,1,"Van","Med","Petrol","M",1372,36668,"M",58,0,8328.3056962441,8078.3056962441,"Married","Self-Employed","Skilled Trades",41,17,13,16000,1,1,0,0,0
"P0000091",2019,2019-08-12,"Commercial",FALSE,"Urban","Ulster","Street",FALSE,1,"Van","Med","Petrol","M",1372,36668,"M",59,0,6434.82205571887,6184.82205571887,"Married","Self-Employed","Skilled Trades",42,17,14,29000,1,0.673972603,0,0,0
"P0000091",2019,2019-08-15,"Commercial",FALSE,"Urban","Ulster","Street",FALSE,1,"Van","Med","Petrol","M",1372,36668,"M",59,0,21298.6219783208,21048.6219783208,"Married","Self-Employed","Skilled Trades",42,17,14,29000,1,0.673972603,0,0,0
"P0000092",2020,2020-10-29,"Commuting",FALSE,"Suburban","Leinster","Driveway",TRUE,1,"Saloon","Med","Diesel","M",1073,28488,"M",35,5,9619.29019078928,9369.29019078928,"Married","Employed","Nurse",17,18,11,10500,1,1,0,0,0
"P0000093",2018,2018-03-20,"Commuting",FALSE,"Urban","Leinster","Street",FALSE,1,"Hatchback","Med","Diesel","M",600,11679,"F",35,2,10781.1995426659,10531.1995426659,"Single","Employed","Nurse",13,22,12,14000,1,1,0,0,0
"P0000093",2018,2018-10-17,"Commuting",FALSE,"Urban","Leinster","Street",FALSE,1,"Hatchback","Med","Diesel","M",600,11679,"F",35,2,22721.6217352685,22471.6217352685,"Single","Employed","Nurse",13,22,12,14000,1,1,0,0,0
"P0000093",2019,2019-10-17,"Commuting",FALSE,"Urban","Leinster","Street",FALSE,1,"Hatchback","Med","Diesel","M",600,11679,"F",36,0,38542.3160165265,38292.3160165265,"Single","Employed","Nurse",14,22,13,13500,1,1,0,0,0
"P0000095",2019,2019-01-13,"Commercial",FALSE,"Urban","Leinster","Street",FALSE,1,"Van","Low","Petrol","M",600,15529,"F",38,2,1885.19927038213,1635.19927038213,"Married","Employed","Driver/Delivery",17,21,9,13500,2,1,0,0,0
"P0000095",2019,2019-01-16,"Commercial",FALSE,"Urban","Leinster","Street",FALSE,1,"Van","Low","Petrol","M",600,15529,"F",38,2,17929.7266003777,17679.7266003777,"Married","Employed","Driver/Delivery",17,21,9,13500,2,1,0,0,0
"P0000095",2019,2019-09-19,"Commercial",FALSE,"Urban","Leinster","Street",FALSE,1,"Van","Low","Petrol","M",600,15529,"F",38,2,8664.8045773079,8414.8045773079,"Married","Employed","Driver/Delivery",17,21,9,13500,2,1,0,0,0
"P0000097",2020,2020-12-19,"Commuting",FALSE,"Rural","Leinster","Driveway",FALSE,1,"Estate","Med","Petrol","M",600,18200,"F",49,1,8690.48663349283,8440.48663349283,"Married","Employed","Accountant",32,17,11,15000,1,0.684931507,0,0,0
"P0000098",2023,2023-10-12,"Commuting",FALSE,"Suburban","Munster","Street",FALSE,1,"Saloon","Med","Diesel","M",600,18374,"M",31,2,9214.78732294287,8964.78732294287,"Single","Employed","Retail",10,21,9,11500,1,1,0,0,0
"P0000098",2024,2024-01-26,"Commuting",FALSE,"Suburban","Munster","Street",FALSE,1,"Saloon","Med","Diesel","M",600,18374,"M",32,0,2161.32149634537,1911.32149634537,"Single","Employed","Retail",11,21,10,12500,1,1,0,0,0
"P0000101",2018,2018-03-02,"Private",FALSE,"Urban","Leinster","Street",TRUE,1,"SUV","High","Petrol","M",1683,39853,"M",32,2,28036.5746610431,27786.5746610431,"Married","Unemployed","Accountant",12,20,6,6500,1,1,0,0,0
"P0000101",2019,2019-07-11,"Private",FALSE,"Urban","Leinster","Street",TRUE,1,"SUV","High","Petrol","M",1683,39853,"M",33,0,9101.00433573591,8851.00433573591,"Married","Unemployed","Accountant",13,20,7,3000,1,1,0,0,0
"P0000102",2023,2023-06-13,"Commercial",FALSE,"Urban","Leinster","Driveway",FALSE,1,"Van","Med","Petrol","M",600,20798,"F",66,3,16040.8645068022,15790.8645068022,"Married","Employed","Driver/Delivery",48,18,5,29500,1,1,0,1,0
"P0000102",2024,2024-07-15,"Commercial",FALSE,"Urban","Leinster","Driveway",FALSE,1,"Van","Med","Petrol","M",600,20798,"F",67,1,6318.24157785938,6068.24157785938,"Married","Employed","Driver/Delivery",49,18,6,29000,1,1,0,0,0
"P0000102",2024,2024-10-08,"Commercial",FALSE,"Urban","Leinster","Driveway",FALSE,1,"Van","Med","Petrol","M",600,20798,"F",67,1,5676.4834027414,5426.4834027414,"Married","Employed","Driver/Delivery",49,18,6,29000,1,1,0,0,0
"P0000103",2024,2024-07-22,"Commuting",FALSE,"Suburban","Leinster","Garage",FALSE,1,"Estate","Low","Diesel","M",600,15842,"F",48,2,4543.35279312233,4293.35279312233,"Married","Employed","Lecturer",30,18,10,13000,1,1,0,0,0
"P0000104",2018,2018-03-06,"Commuting",FALSE,"Rural","Leinster","Garage",TRUE,1,"Van","Low","Petrol","M",819,17531,"M",51,1,5032.82079552948,4782.82079552948,"Married","Employed","Skilled Trades",32,19,7,12000,2,0.882191781,0,0,0
"P0000104",2018,2018-08-10,"Commuting",FALSE,"Rural","Leinster","Garage",TRUE,1,"Van","Low","Petrol","M",819,17531,"M",51,1,26101.5190270271,25851.5190270271,"Married","Employed","Skilled Trades",32,19,7,12000,2,0.882191781,0,0,0
"P0000104",2019,2019-09-05,"Commuting",FALSE,"Rural","Leinster","Garage",TRUE,1,"Van","Low","Petrol","M",819,17531,"M",52,0,3569.15633809371,3319.15633809371,"Married","Employed","Skilled Trades",33,19,8,21500,2,1,0,0,0
"P0000107",2018,2018-05-19,"Private",FALSE,"Rural","Leinster","Driveway",TRUE,1,"SUV","High","Petrol","M",2288,52776,"M",39,1,4999.57539575417,4749.57539575417,"Married","Unemployed","Accountant",22,17,8,6000,2,1,0,0,0
"P0000109",2020,2020-07-28,"Commuting",FALSE,"Rural","Leinster","Garage",FALSE,1,"SUV","Low","Petrol","M",600,12835,"F",26,3,5572.74853465017,5322.74853465017,"Single","Employed","Nurse",4,22,11,11000,1,1,0,0,0
"P0000112",2023,2023-12-22,"Commuting",FALSE,"Suburban","Ulster","Driveway",TRUE,1,"Hatchback","Low","Diesel","M",600,16623,"M",29,1,2612.67542620687,2362.67542620687,"Single","Employed","Lecturer",7,22,12,7500,2,0.167123288,0,0,0
